Critic_Score,Platform,Genre,Publisher,Name,Global_Sales
55.0,PS3,Sports,Take-Two Interactive,WWE 2K15,0.78
65.0,X360,Role-Playing,Microsoft Game Studios,Too Human,0.78
81.0,PS3,Sports,Electronic Arts,Tiger Woods PGA Tour 10,0.78
71.0,GBA,Platform,Vivendi Games,Secret Agent Barbie: Royal Jewels Mission,0.78
85.0,X360,Action,Ubisoft,Tom Clancy's Splinter Cell: Double Agent,0.78
74.0,X360,Fighting,Namco Bandai Games,Naruto Shippuden: Ultimate Ninja Storm 2,0.78
79.0,DS,Role-Playing,Nintendo,Golden Sun: Dark Dawn,0.78
86.0,X360,Fighting,Electronic Arts,Fight Night Champion,0.78
57.0,X360,Action,Deep Silver,Dead Island: Riptide,0.78
68.0,DS,Action,LucasArts,Star Wars The Clone Wars: Jedi Alliance,0.78
88.0,DS,Role-Playing,Square Enix,The World Ends With You,0.78
73.0,DS,Action,THQ,Drawn to Life,0.78
85.0,PS3,Strategy,Take-Two Interactive,Sid Meier's Civilization Revolution,0.78
81.0,PS2,Sports,Take-Two Interactive,NBA 2K7,0.78
80.0,GC,Shooter,Electronic Arts,James Bond 007: Nightfire,0.78
72.0,PS3,Shooter,Activision,Goldeneye 007: Reloaded,0.78
87.0,X360,Platform,Ubisoft,Rayman Origins,0.78
48.0,X360,Shooter,Sega,Aliens: Colonial Marines,0.77
71.0,X360,Misc,Microsoft Game Studios,Lips,0.77
81.0,Wii,Action,Sega,MadWorld,0.77
57.0,PSP,Racing,Electronic Arts,Need for Speed: ProStreet,0.77
81.0,X360,Shooter,Microsoft Game Studios,Perfect Dark Zero,0.77
53.0,PS2,Fighting,Electronic Arts,Marvel Nemesis: Rise of the Imperfects,0.77
78.0,PS,Racing,Electronic Arts,Need for Speed: Porsche Unleashed,0.77
66.0,Wii,Misc,Ubisoft,ABBA: You Can Dance,0.77
52.0,X360,Action,Capcom,Resident Evil: Operation Raccoon City,0.77
70.0,X360,Sports,THQ,UFC Personal Trainer: The Ultimate Fitness System,0.77
70.0,PSP,Strategy,THQ,Worms: Open Warfare,0.77
38.0,GBA,Action,THQ,Star Wars Episode II: Attack of the Clones,0.77
69.0,Wii,Shooter,Sega,Ghost Squad,0.77
84.0,PS2,Platform,Capcom,Maximo: Ghosts to Glory,0.77
77.0,GBA,Platform,Nintendo,Donkey Kong Country 3,0.77
81.0,PS2,Sports,Acclaim Entertainment,All-Star Baseball 2003,0.77
45.0,PS2,Role-Playing,Atari,Unlimited Saga,0.77
46.0,DS,Racing,Nintendo,Pokemon Dash,0.77
57.0,PS3,Fighting,Namco Bandai Games,Dragon Ball: Raging Blast,0.77
79.0,PSP,Action,Sony Computer Entertainment,Twisted Metal: Head On,0.77
69.0,DS,Sports,Nintendo,Personal Trainer: Walking,0.76
66.0,PS2,Platform,Sega,Sonic Unleashed,0.76
76.0,DS,Puzzle,Nintendo,Tetris Party Deluxe,0.76
56.0,XB,Racing,Atari,Driv3r,0.76
94.0,PS,Sports,Konami Digital Entertainment,ISS Pro Evolution,0.76
52.0,PSP,Racing,Electronic Arts,Need For Speed: Undercover,0.76
85.0,DS,Shooter,Nintendo,Metroid Prime Hunters,0.76
91.0,WiiU,Action,Nintendo,Bayonetta 2,0.76
63.0,PSP,Shooter,LucasArts,Star Wars Battlefront: Elite Squadron,0.76
65.0,PS2,Shooter,Sony Computer Entertainment,Syphon Filter: The Omega Strain,0.76
52.0,3DS,Simulation,Electronic Arts,The Sims 3,0.76
81.0,XB,Fighting,Midway Games,Mortal Kombat: Deception,0.76
39.0,GBA,Adventure,Disney Interactive Studios,That's So Raven,0.76
87.0,Wii,Misc,Activision,DJ Hero,0.76
95.0,PC,Shooter,Other,Portal 2,0.76
51.0,PS3,Shooter,Take-Two Interactive,Duke Nukem Forever,0.76
71.0,Wii,Action,LucasArts,Star Wars: The Force Unleashed II,0.76
60.0,Wii,Action,Electronic Arts,Harry Potter and the Half-Blood Prince,0.75
67.0,PS2,Platform,THQ,Wall-E,0.75
81.0,3DS,Puzzle,Nintendo,Professor Layton and the Azran Legacy,0.75
76.0,PS,Platform,Capcom,Mega Man X5,0.75
89.0,PS4,Shooter,Electronic Arts,Titanfall 2,0.75
55.0,PS3,Action,Sony Computer Entertainment,Genji: Days of the Blade,0.75
95.0,XOne,Action,Konami Digital Entertainment,Metal Gear Solid V: The Phantom Pain,0.75
81.0,X360,Sports,Take-Two Interactive,Rockstar Games presents Table Tennis,0.75
58.0,Wii,Puzzle,THQ,Drawn to Life: The Next Chapter,0.75
60.0,Wii,Action,Nintendo,PokePark 2: Wonders Beyond,0.75
86.0,PS3,Misc,Activision,DJ Hero 2,0.75
72.0,PSP,Fighting,THQ,WWE SmackDown vs. Raw 2009,0.75
72.0,3DS,Action,Warner Bros. Interactive Entertainment,LEGO Batman 2: DC Super Heroes,0.75
81.0,PS3,Fighting,Namco Bandai Games,SoulCalibur V,0.75
69.0,PS2,Action,Activision,Shark Tale,0.75
78.0,PS2,Shooter,Konami Digital Entertainment,Zone of the Enders,0.75
82.0,PS4,Sports,Konami Digital Entertainment,Pro Evolution Soccer 2015,0.75
83.0,XB,Sports,Activision,Tony Hawk's Underground 2,0.75
75.0,PSP,Sports,Electronic Arts,Madden NFL 06,0.75
62.0,Wii,Adventure,Ubisoft,Raving Rabbids: Travel in Time,0.75
81.0,PS2,Fighting,Capcom,Capcom vs. SNK 2: Mark of the Millennium 2001,0.75
76.0,PS2,Sports,Electronic Arts,MVP 06 NCAA Baseball,0.75
69.0,X360,Action,Other,Turok,0.75
59.0,PSP,Shooter,Konami Digital Entertainment,Coded Arms,0.75
80.0,DS,Role-Playing,Square Enix,Final Fantasy Tactics A2: Grimoire of the Rift,0.75
54.0,PS3,Action,Electronic Arts,The Lord of the Rings: Conquest,0.74
76.0,PS3,Misc,Activision,Band Hero,0.74
79.0,PS2,Racing,Acclaim Entertainment,Burnout,0.74
63.0,DS,Role-Playing,Disney Interactive Studios,Spectrobes,0.74
67.0,PS3,Action,Electronic Arts,The Godfather II,0.74
70.0,PSP,Fighting,Midway Games,Mortal Kombat: Unchained,0.74
69.0,PSP,Racing,Electronic Arts,Need for Speed: Shift,0.74
91.0,X360,Role-Playing,Namco Bandai Games,Dark Souls II,0.74
65.0,DS,Sports,Sega,Sega Superstars Tennis,0.74
80.0,PC,Action,Ubisoft,Assassin's Creed: Revelations,0.74
79.0,PS3,Action,Activision,[Prototype 2],0.74
84.0,XB,Racing,Take-Two Interactive,Midnight Club 3: DUB Edition,0.74
74.0,PS3,Action,Capcom,Resident Evil: Revelations,0.74
60.0,PSP,Shooter,Ubisoft,Tom Clancy's Rainbow Six: Vegas,0.74
74.0,PS2,Sports,Electronic Arts,Tiger Woods PGA Tour 2001,0.74
85.0,PS3,Shooter,THQ,Red Faction: Guerrilla,0.74
77.0,PS3,Action,Namco Bandai Games,Ace Combat: Assault Horizon,0.74
83.0,XB,Shooter,Atari,Unreal Championship,0.74
86.0,PC,Action,Electronic Arts,Crysis 2,0.74
79.0,X360,Role-Playing,Atari,Tales of Vesperia,0.74
87.0,PS3,Sports,Sony Computer Entertainment,MLB 13: The Show,0.74
82.0,WiiU,Action,Warner Bros. Interactive Entertainment,LEGO Marvel Super Heroes,0.74
49.0,Wii,Misc,Atari,Namco Museum Remix,0.74
72.0,GBA,Role-Playing,Nintendo,Sword of Mana,0.74
74.0,PS3,Role-Playing,Activision,Marvel: Ultimate Alliance 2,0.73
85.0,PC,Role-Playing,Electronic Arts,Dragon Age: Inquisition,0.73
72.0,PS3,Role-Playing,Sega,Resonance of Fate,0.73
55.0,DS,Action,Activision,Madagascar: Escape 2 Africa,0.73
55.0,PS3,Action,Disney Interactive Studios,Pirates of the Caribbean: At World's End,0.73
79.0,PS3,Sports,Electronic Arts,Tiger Woods PGA Tour 08,0.73
55.0,GBA,Platform,Nintendo,Classic NES Series: Donkey Kong,0.73
76.0,Wii,Simulation,Rising Star Games,Harvest Moon: Animal Parade,0.73
78.0,Wii,Fighting,THQ,WWE SmackDown vs. Raw 2010,0.73
76.0,3DS,Simulation,Nintendo,Style Savvy: Trendsetters,0.73
79.0,X360,Role-Playing,Square Enix,Final Fantasy XIII-2,0.73
80.0,XB,Platform,Atari,Oddworld: Munch's Oddysee,0.73
86.0,PS3,Fighting,Atlus,Persona 4: Arena,0.73
72.0,PS3,Shooter,Bethesda Softworks,Brink,0.73
88.0,X360,Sports,Electronic Arts,NHL 11,0.73
79.0,X360,Sports,Electronic Arts,NCAA Football 07,0.73
84.0,XB,Strategy,THQ,Full Spectrum Warrior,0.73
71.0,PS4,Action,Warner Bros. Interactive Entertainment,LEGO Marvel's Avengers,0.73
86.0,PS2,Puzzle,Namco Bandai Games,Katamari Damacy,0.73
75.0,WiiU,Misc,Ubisoft,Just Dance 2015,0.73
80.0,PS4,Action,Warner Bros. Interactive Entertainment,LEGO Dimensions,0.73
74.0,PS3,Fighting,Namco Bandai Games,Naruto Shippuden: Ultimate Ninja Storm Generations,0.73
64.0,PS2,Sports,Codemasters,Shaun Palmer's Pro Snowboarder,0.73
74.0,GC,Shooter,Electronic Arts,James Bond 007: Agent Under Fire,0.72
65.0,DS,Simulation,Rising Star Games,Harvest Moon DS: Island of Happiness,0.72
73.0,GBA,Action,Ubisoft,Star Wars Episode III: Revenge of the Sith,0.72
74.0,PS2,Action,Activision,Ultimate Spider-Man,0.72
65.0,Wii,Misc,Electronic Arts,Monopoly Streets,0.72
70.0,DS,Platform,Ubisoft,Rabbids Go Home,0.72
76.0,PC,Strategy,Sega,Total War: Rome II,0.72
68.0,PS2,Sports,Electronic Arts,NBA Live 08,0.72
74.0,PS3,Role-Playing,Square Enix,Star Ocean: The Last Hope International,0.72
73.0,XB,Shooter,Electronic Arts,Dead to Rights,0.72
55.0,Wii,Action,Activision,Indiana Jones and the Staff of Kings,0.72
79.0,PS2,Sports,Electronic Arts,Tiger Woods PGA Tour 07,0.72
79.0,X360,Sports,Other,Major League Baseball 2K7,0.72
83.0,3DS,Role-Playing,Nippon Ichi Software,Persona Q: Shadow of the Labyrinth,0.72
83.0,PS4,Sports,Other,MLB 14: The Show,0.72
72.0,PS,Fighting,Activision,X-Men: Mutant Academy 2,0.72
86.0,DS,Platform,Nintendo,Kirby: Canvas Curse,0.72
77.0,Wii,Sports,Electronic Arts,Madden NFL 10,0.72
90.0,PS3,Sports,Sony Computer Entertainment,MLB 09: The Show,0.72
74.0,X360,Shooter,Take-Two Interactive,Borderlands: The Pre-Sequel,0.72
75.0,Wii,Sports,Unknown,Madden NFL 11,0.72
82.0,GBA,Puzzle,Atari,Super Monkey Ball Jr.,0.72
93.0,PC,Role-Playing,Namco Bandai Games,The Witcher 3: Wild Hunt,0.72
84.0,X360,Racing,Codemasters,F1 2011,0.72
66.0,PS2,Simulation,Namco Bandai Games,Mobile Suit Gundam: Encounters in Space,0.72
91.0,PS3,Sports,Sony Computer Entertainment,MLB 10: The Show,0.72
75.0,X360,Racing,THQ,MX vs. ATV Reflex,0.72
81.0,PS3,Racing,Activision,Blur,0.72
87.0,PC,Shooter,Electronic Arts,Battlefield: Bad Company 2,0.72
87.0,X360,Racing,Codemasters,DiRT 3,0.72
79.0,XB,Action,Electronic Arts,The Lord of the Rings: The Two Towers,0.71
92.0,XB,Sports,Electronic Arts,Madden NFL 2003,0.71
86.0,X360,Sports,Electronic Arts,Skate,0.71
89.0,PC,Strategy,Take-Two Interactive,XCOM: Enemy Unknown,0.71
60.0,PSP,Action,D3Publisher,Ben 10: Protector of Earth,0.71
93.0,PS2,Fighting,Sega,Virtua Fighter 4: Evolution,0.71
91.0,PC,Shooter,Electronic Arts,Crysis,0.71
39.0,PS,Action,Eidos Interactive,Resident Evil: Survivor,0.71
66.0,DS,Simulation,Electronic Arts,The Sims 2: Castaway,0.71
66.0,PS2,Racing,Other,Super Trucks Racing,0.71
73.0,GC,Fighting,Atari,Godzilla: Destroy All Monsters Melee,0.71
43.0,PS,Racing,Acclaim Entertainment,Jeremy McGrath Supercross 2000,0.71
85.0,PS2,Action,Konami Digital Entertainment,Silent Hill 3,0.71
48.0,GC,Platform,Universal Interactive,Spyro: Enter the Dragonfly,0.71
46.0,GBA,Action,THQ,Scooby-Doo 2: Monsters Unleashed,0.71
49.0,PS2,Action,THQ,Power Rangers: Dino Thunder,0.71
75.0,PSP,Sports,Electronic Arts,Madden NFL 08,0.71
68.0,PSP,Sports,Electronic Arts,Madden NFL 09,0.71
77.0,X360,Sports,Electronic Arts,NBA Live 09,0.71
73.0,PS4,Action,Namco Bandai Games,Dragon Ball: Xenoverse 2,0.71
59.0,PS3,Action,Tecmo Koei,Dynasty Warriors 6,0.71
83.0,X360,Sports,Electronic Arts,NCAA Football 09,0.71
77.0,XB,Shooter,Activision,Doom 3: Resurrection of Evil,0.71
82.0,X360,Sports,Electronic Arts,SSX,0.7
65.0,Wii,Role-Playing,Square Enix,Dragon Quest Swords: The Masked Queen and the Tower of Mirrors,0.7
50.0,X360,Role-Playing,SouthPeak Games,Two Worlds,0.7
89.0,GC,Sports,Activision,Tony Hawk's Underground,0.7
67.0,PSP,Action,Activision,Spider-Man 2,0.7
81.0,X360,Sports,Electronic Arts,NCAA Football 08,0.7
86.0,WiiU,Action,Activision,Skylanders: Trap Team,0.7
58.0,XB,Action,Activision,Star Wars: Obi-Wan,0.7
78.0,DS,Adventure,Capcom,Ace Attorney Investigations: Miles Edgeworth,0.7
73.0,PS2,Shooter,Sony Computer Entertainment,Kill.Switch,0.7
79.0,PS3,Adventure,Deep Silver,Catherine,0.7
90.0,GC,Sports,Electronic Arts,Madden NFL 2005,0.7
67.0,GBA,Action,Majesco Entertainment,F-14 Tomcat,0.7
84.0,PS2,Racing,Atari,SplashDown,0.7
89.0,XB,Role-Playing,Microsoft Game Studios,Jade Empire,0.7
68.0,X360,Role-Playing,Square Enix,Infinite Undiscovery,0.7
63.0,DS,Sports,Electronic Arts,FIFA Soccer 11,0.7
78.0,PS4,Action,Warner Bros. Interactive Entertainment,Lego Star Wars: The Force Awakens,0.7
86.0,X360,Sports,Electronic Arts,NHL 12,0.7
92.0,GBA,Strategy,Nintendo,Advance Wars,0.7
66.0,PS2,Racing,Electronic Arts,NASCAR 2001,0.7
65.0,PS2,Action,Other,Mafia,0.7
66.0,PSP,Platform,Sony Computer Entertainment,Ape Escape: On the Loose,0.7
58.0,PS2,Simulation,Namco Bandai Games,Mobile Suit Gundam: Journey to Jaburo,0.7
85.0,PS3,Sports,Sony Computer Entertainment,MLB 08: The Show,0.7
90.0,PS2,Shooter,Eidos Interactive,TimeSplitters 2,0.7
43.0,X360,Simulation,Konami Digital Entertainment,Omerta: City of Gangsters,0.7
80.0,X360,Racing,Ubisoft,Driver: San Francisco,0.7
73.0,GBA,Adventure,Nintendo,Classic NES Series: Zelda II: The Adventure of Link,0.7
71.0,GBA,Platform,Disney Interactive Studios,Disney's Chicken Little,0.7
65.0,PS3,Shooter,Activision,James Bond 007: Blood Stone,0.7
65.0,PSP,Action,Konami Digital Entertainment,Metal Gear Solid: Portable Ops Plus,0.69
70.0,Wii,Misc,Warner Bros. Interactive Entertainment,LEGO Rock Band,0.69
89.0,XB,Shooter,Microsoft Game Studios,Halo 2 Multiplayer Map Pack,0.69
77.0,PS2,Action,Midway Games,Mortal Kombat: Shaolin Monks,0.69
40.0,X360,Sports,Ubisoft,MotionSports,0.69
68.0,PSP,Racing,THQ,MX vs. ATV Unleashed: On the Edge,0.69
62.0,GBA,Misc,Nintendo,Mario Pinball Land,0.69
65.0,GC,Fighting,Atari,Dragon Ball Z: Budokai,0.69
76.0,XOne,Shooter,Electronic Arts,Plants vs. Zombies: Garden Warfare,0.69
75.0,XOne,Racing,Electronic Arts,Need for Speed Rivals,0.69
50.0,DS,Simulation,Electronic Arts,The Sims 2: Apartment Pets,0.69
77.0,GC,Action,Electronic Arts,Harry Potter and the Chamber of Secrets,0.69
75.0,PS3,Action,Ubisoft,Prince of Persia: The Forgotten Sands,0.69
84.0,GC,Action,Electronic Arts,The Lord of the Rings: The Return of the King,0.69
77.0,PC,Simulation,Electronic Arts,The Sims: Medieval,0.69
82.0,PS3,Sports,Take-Two Interactive,Top Spin 4,0.69
78.0,PS2,Role-Playing,Other,Baldur's Gate: Dark Alliance II,0.68
63.0,GBA,Action,Activision,Shark Tale,0.68
81.0,PS3,Simulation,505 Games,IL-2 Sturmovik: Birds of Prey,0.68
68.0,X360,Racing,Atari,Test Drive Unlimited 2,0.68
89.0,XB,Sports,Electronic Arts,NBA Street Vol. 2,0.68
70.0,X360,Racing,THQ,MX vs. ATV Untamed,0.68
66.0,X360,Role-Playing,Square Enix,The Last Remnant,0.68
89.0,XB,Sports,Electronic Arts,NCAA Football 2005,0.68
85.0,PS3,Platform,Sony Computer Entertainment,The Sly Collection,0.68
72.0,GC,Fighting,Other,Naruto: Clash of Ninja,0.68
67.0,PS4,Shooter,505 Games,Sniper Elite 3,0.68
85.0,PS2,Action,Ubisoft,Prince of Persia: The Two Thrones,0.68
82.0,PSP,Sports,Sony Computer Entertainment,Hot Shots Golf: Open Tee 2,0.68
82.0,PS,Role-Playing,Konami Digital Entertainment,Suikoden II,0.68
42.0,PS3,Action,Sega,Iron Man,0.68
80.0,XB,Sports,Electronic Arts,FIFA Soccer 06,0.68
85.0,XB,Fighting,Electronic Arts,Fight Night 2004,0.68
76.0,PS2,Role-Playing,Atari,.hack//Mutation Part 2,0.68
79.0,XOne,Shooter,Bethesda Softworks,Wolfenstein: The New Order,0.68
69.0,DS,Racing,THQ,Cars: Mater-National Championship,0.68
71.0,PSP,Action,Warner Bros. Interactive Entertainment,LEGO Harry Potter: Years 1-4,0.68
74.0,PS2,Misc,Midway Games,Midway Arcade Treasures 2,0.68
82.0,Wii,Action,Nintendo,Kirby's Dream Collection: Special Edition,0.67
84.0,XB,Shooter,Activision,Return to Castle Wolfenstein: Tides of War,0.67
84.0,PC,Role-Playing,Unknown,RIFT,0.67
60.0,PS3,Platform,Activision,Spider-Man 3,0.67
89.0,PC,Role-Playing,Electronic Arts,Mass Effect,0.67
79.0,XOne,Action,Bethesda Softworks,The Evil Within,0.67
74.0,PS2,Simulation,Other,Armored Core 3,0.67
78.0,XB,Shooter,Activision,Star Wars: Republic Commando,0.67
71.0,PS4,Action,Warner Bros. Interactive Entertainment,The LEGO Movie Videogame,0.67
67.0,PS3,Action,Other,Turok,0.67
81.0,X360,Action,505 Games,Terraria,0.67
63.0,Wii,Shooter,Ubisoft,Red Steel,0.67
86.0,PS3,Shooter,Midway Games,Unreal Tournament III,0.67
68.0,DS,Role-Playing,Nintendo,Fossil Fighters: Champions,0.67
73.0,DS,Simulation,Electronic Arts,The Sims 3,0.67
66.0,GBA,Action,Disney Interactive Studios,"The Chronicles of Narnia: The Lion, The Witch and The Wardrobe",0.67
69.0,PS,Simulation,Take-Two Interactive,Pro Pinball: Big Race USA,0.66
81.0,XB,Sports,Electronic Arts,NFL Street,0.66
77.0,DS,Role-Playing,Square Enix,Final Fantasy Crystal Chronicles: Ring of Fates,0.66
62.0,Wii,Action,Activision,Bakugan: Battle Brawlers,0.66
67.0,PS3,Simulation,Ubisoft,Blazing Angels: Squadrons of WWII,0.66
78.0,PSP,Fighting,THQ,WWE SmackDown vs. RAW 2007,0.66
65.0,PS4,Racing,Codemasters,F1 2015,0.66
65.0,PS2,Sports,Activision,Tony Hawk's Proving Ground,0.66
80.0,PS3,Shooter,Take-Two Interactive,The Darkness,0.66
61.0,PS2,Sports,Sony Computer Entertainment,MLB 2004,0.66
58.0,PS,Role-Playing,Electronic Arts,Darkstone,0.66
74.0,PS2,Sports,Electronic Arts,NCAA March Madness 2003,0.66
63.0,XB,Action,THQ,Finding Nemo,0.66
69.0,PS2,Strategy,Atari,Thrillville,0.66
70.0,GC,Platform,Activision,Madagascar,0.66
83.0,X360,Action,Konami Digital Entertainment,Castlevania: Lords of Shadow,0.66
88.0,X360,Sports,Electronic Arts,NHL 10,0.66
70.0,DS,Misc,Nintendo,100 Classic Books,0.66
78.0,PS2,Fighting,Capcom,Street Fighter Anniversary Collection,0.66
83.0,X360,Sports,Electronic Arts,NHL 13,0.66
81.0,PC,Strategy,Sega,Napoleon: Total War,0.66
92.0,WiiU,Platform,Ubisoft,Rayman Legends,0.66
81.0,GC,Simulation,Electronic Arts,The Sims: Bustin' Out,0.66
94.0,PC,Shooter,Take-Two Interactive,BioShock Infinite,0.66
64.0,PSP,Action,THQ,Ratatouille,0.66
67.0,PS3,Action,Warner Bros. Interactive Entertainment,Lollipop Chainsaw,0.66
76.0,PS3,Strategy,Ubisoft,Tom Clancy's EndWar,0.66
71.0,GBA,Action,TDK Mediactive,Shrek: Hassle at the Castle,0.66
63.0,PS2,Role-Playing,Konami Digital Entertainment,Suikoden IV,0.66
71.0,PSP,Action,Namco Bandai Games,Gods Eater Burst,0.66
60.0,PS3,Action,Other,Fist of the North Star: Ken's Rage,0.66
77.0,GBA,Platform,Disney Interactive Studios,Disney's Kim Possible 2: Drakken's Demise,0.66
71.0,PS3,Action,Namco Bandai Games,One Piece: Pirate Warriors 2,0.66
88.0,XB,Shooter,Ubisoft,Brothers In Arms: Road to Hill 30,0.66
69.0,DS,Action,Warner Bros. Interactive Entertainment,LEGO Harry Potter: Years 5-7,0.66
70.0,XOne,Action,Warner Bros. Interactive Entertainment,LEGO Jurassic World,0.65
73.0,PS2,Action,Activision,Kung Fu Panda,0.65
73.0,PSV,Role-Playing,Sony Computer Entertainment,Freedom Wars,0.65
63.0,PS3,Sports,Ubisoft,Shaun White Snowboarding,0.65
74.0,PS2,Role-Playing,Square Enix,Radiata Stories,0.65
89.0,GC,Racing,Nintendo,F-Zero GX,0.65
60.0,PS2,Platform,Disney Interactive Studios,Disney's Chicken Little,0.65
76.0,X360,Misc,Microsoft Game Studios,Scene It? Box Office Smash,0.65
60.0,GBA,Platform,Nintendo,Yoshi Topsy-Turvy,0.65
47.0,PS2,Racing,Ubisoft,Monster Jam: Maximum Destruction,0.65
82.0,PS3,Sports,Electronic Arts,Tiger Woods PGA Tour 09,0.65
85.0,PSV,Fighting,Warner Bros. Interactive Entertainment,Mortal Kombat,0.65
84.0,X360,Sports,Electronic Arts,Tiger Woods PGA Tour 09,0.65
89.0,GBA,Strategy,Nintendo,Advance Wars 2: Black Hole Rising,0.65
60.0,DS,Platform,Nintendo,Wario: Master of Disguise,0.65
80.0,Wii,Role-Playing,Nintendo,The Last Story,0.65
63.0,PS2,Role-Playing,Square Enix,Drakengard,0.65
77.0,PS2,Role-Playing,Other,Champions: Return to Arms,0.65
68.0,PS2,Action,Electronic Arts,Harry Potter and the Goblet of Fire,0.65
59.0,PSP,Racing,THQ,MX vs. ATV Untamed,0.65
80.0,X360,Sports,Electronic Arts,Tiger Woods PGA Tour 10,0.65
54.0,Wii,Action,Activision,007: Quantum of Solace,0.65
64.0,PSP,Platform,THQ,Wall-E,0.65
64.0,PC,Simulation,Focus Home Interactive,Farming Simulator 17,0.65
64.0,PSV,Shooter,Take-Two Interactive,Borderlands 2,0.64
67.0,GBA,Platform,Vivendi Games,Crash Bandicoot Purple: Ripto's Rampage,0.64
84.0,PC,Action,Ubisoft,Assassin's Creed IV: Black Flag,0.64
54.0,Wii,Racing,Electronic Arts,Need For Speed: Undercover,0.64
60.0,PS2,Platform,Vivendi Games,Spyro: A Hero's Tail,0.64
64.0,PS2,Platform,Vivendi Games,Crash: Twinsanity,0.64
68.0,WiiU,Action,Warner Bros. Interactive Entertainment,The LEGO Movie Videogame,0.64
84.0,XB,Shooter,Take-Two Interactive,Max Payne 2: The Fall of Max Payne,0.64
72.0,DS,Puzzle,THQ,Drawn to Life: The Next Chapter,0.64
60.0,PS2,Shooter,Electronic Arts,GoldenEye: Rogue Agent,0.64
50.0,X360,Sports,Take-Two Interactive,WWE 2K15,0.64
74.0,PSP,Role-Playing,Square Enix,Star Ocean: First Departure,0.64
83.0,XB,Shooter,Electronic Arts,James Bond 007: Everything or Nothing,0.64
58.0,PS2,Platform,Activision,X2: Wolverine's Revenge,0.64
79.0,XB,Sports,Electronic Arts,NBA Live 06,0.64
61.0,3DS,Platform,Ubisoft,Rayman 3D,0.64
85.0,PC,Sports,Sega,Football Manager 2014,0.64
88.0,XB,Shooter,Eidos Interactive,TimeSplitters 2,0.64
81.0,PS2,Action,Capcom,Onimusha: Dawn of Dreams,0.64
61.0,PS3,Action,Capcom,Sengoku Basara: Samurai Heroes,0.64
75.0,X360,Racing,THQ,Stuntman: Ignition,0.64
67.0,Wii,Action,Other,Real Heroes: Firefighter,0.64
88.0,PS4,Action,Bethesda Softworks,Dishonored 2,0.64
78.0,GBA,Misc,Konami Digital Entertainment,Konami Collector's Series: Arcade Advanced,0.64
64.0,XOne,Racing,Ubisoft,The Crew,0.64
57.0,X360,Fighting,Namco Bandai Games,Dragon Ball: Raging Blast 2,0.64
84.0,PS3,Sports,Electronic Arts,NHL 13,0.64
74.0,PS3,Fighting,Tecmo Koei,Dead or Alive 5,0.64
74.0,XOne,Shooter,Take-Two Interactive,Evolve,0.64
63.0,PS2,Platform,Activision,Lemony Snicket's A Series of Unfortunate Events,0.64
67.0,PS3,Shooter,Capcom,Lost Planet: Extreme Condition,0.64
82.0,PS2,Role-Playing,Activision,X-Men Legends II: Rise of Apocalypse,0.63
73.0,PS2,Misc,Sony Computer Entertainment,SingStar Queen,0.63
81.0,X360,Action,LucasArts,LEGO Star Wars II: The Original Trilogy,0.63
91.0,Wii,Misc,Other,Rock Band 3,0.63
82.0,PC,Action,Electronic Arts,Dragon Age II,0.63
78.0,XB,Sports,Activision,Tony Hawk's Pro Skater 2x,0.63
73.0,PS3,Sports,Electronic Arts,NBA Live 08,0.63
88.0,XB,Sports,Electronic Arts,FIFA Soccer 2003,0.63
55.0,X360,Action,Electronic Arts,The Lord of the Rings: Conquest,0.63
80.0,PC,Shooter,Ubisoft,Far Cry 4,0.63
78.0,PS2,Racing,Electronic Arts,NASCAR 06: Total Team Control,0.63
44.0,PSP,Action,Sega,Iron Man,0.63
60.0,PS3,Role-Playing,Sony Computer Entertainment,White Knight Chronicles II,0.63
68.0,X360,Racing,THQ,Juiced 2: Hot Import Nights,0.63
71.0,PS3,Shooter,Activision,Wolfenstein,0.63
32.0,X360,Shooter,Activision,The Walking Dead: Survival Instinct,0.63
70.0,PC,Simulation,Electronic Arts,The Sims 3: Generations,0.63
82.0,PS2,Platform,Sony Computer Entertainment,Ape Escape 2,0.63
75.0,PS3,Racing,Sega,Sega Rally Revo,0.63
89.0,PS2,Role-Playing,Tecmo Koei,Shin Megami Tensei: Persona 3 FES,0.63
82.0,PS2,Sports,Electronic Arts,FIFA Soccer 2002,0.63
62.0,3DS,Action,Activision,Angry Birds Trilogy,0.63
80.0,X360,Action,Sega,Condemned 2: Bloodshot,0.63
93.0,PS2,Action,Capcom,Okami,0.63
89.0,PSP,Role-Playing,Other,Shin Megami Tensei: Persona 3 Portable,0.63
88.0,PS,Sports,Electronic Arts,NHL 2001,0.63
76.0,PC,Shooter,Electronic Arts,Crysis 3,0.63
54.0,PS,Platform,Activision,Buzz Lightyear of Star Command,0.63
78.0,PS4,Sports,Electronic Arts,NHL 16,0.63
62.0,GC,Misc,Namco Bandai Games,Namco Museum,0.63
76.0,PS3,Sports,Activision,Tony Hawk's Project 8,0.63
79.0,X360,Action,Atari,Ghostbusters: The Video Game,0.63
90.0,X360,Strategy,Take-Two Interactive,XCOM: Enemy Unknown,0.62
87.0,XB,Action,Konami Digital Entertainment,Metal Gear Solid 2: Substance,0.62
77.0,XB,Sports,Activision,Tony Hawk's American Wasteland,0.62
78.0,PS2,Role-Playing,Ubisoft,Wild ARMs 3,0.62
82.0,GC,Sports,Electronic Arts,Madden NFL 07,0.62
